_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d906dbcb30ffd0079a8,2011-2012 Inicio,Zona 5,GUAYAS,9,SALITRE,919,GENERAL VERNAZA (DOS ESTEROS),91951,LA TIERRA ES VIDA,09H05334,Ordinario,Municipal,Rural,Costa,Intercultural,2,0,2,21,28,49,49,0,0,0,0,0
67900d906dbcb30ffd007a50,2011-2012 Inicio,Zona 5,GUAYAS,9,SALITRE,919,BOCANA,91901,5 DE NOVIEMBRE,09H05527,Ordinario,Municipal,Urbana,Costa,Intercultural,35,16,51,664,609,1273,1273,0,0,0,0,0
67900d906dbcb30ffd007abc,2011-2012 Inicio,Zona 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,CENTRO ESCUELA DIVINO NIÑO JESUS,09H05666,Popular Permanente,Municipal,Urbana,Costa,Intercultural,3,0,3,18,30,48,48,0,0,0,0,0
67900d906dbcb30ffd007ad3,2011-2012 Inicio,Zona 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,VIRGEN DEL CISNE,09H05698,Popular Permanente,Municipal,Urbana,Costa,Intercultural,4,0,4,79,62,141,141,0,0,0,0,0
67900d906dbcb30ffd007af1,2011-2012 Inicio,Zona 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,RODOLFO FLORESMILO GILER,09H05760,Popular Permanente,Municipal,Urbana,Costa,Intercultural,1,0,1,17,16,33,33,0,0,0,0,0
67900d906dbcb30ffd007b63,2011-2012 Inicio,Zona 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,HUANCAVILCA,09H05958,Popular Permanente,Municipal,Urbana,Costa,Intercultural,7,7,14,0,153,153,153,0,0,0,0,0
67900d906dbcb30ffd007b85,2011-2012 Inicio,Zona 5,GUAYAS,9,PEDRO CARBO,914,SABANILLA,91452,LUZ DE ESPERANZA,09H06023,Popular Permanente,Municipal,Rural,Costa,Intercultural,1,1,2,16,16,32,32,0,0,0,0,0
67900d906dbcb30ffd007b8b,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,GUAYAS (PUEBLO NUEVO),90851,LOS PINOS,09H06029,Ordinario,Municipal,Rural,Costa,Intercultural,1,0,1,10,15,25,25,0,0,0,0,0
67900d906dbcb30ffd007b92,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,EL ROSARIO,90852,PAULA ANTONIA LOOR,09H06036,Ordinario,Municipal,Rural,Costa,Intercultural,0,1,1,7,15,22,22,0,0,0,0,0
67900d906dbcb30ffd007bda,2011-2012 Inicio,Zona 5,GUAYAS,9,SALITRE,919,JUNQUILLAL,91953,SANTA ANA DE SALITRE,09H06132,Ordinario,Municipal,Rural,Costa,Intercultural,1,1,2,28,20,48,48,0,0,0,0,0
67900d906dbcb30ffd007bde,2011-2012 Inicio,Zona 5,GUAYAS,9,PALESTINA,913,PALESTINA,91350,MANUELA CAÑIZARES,09H06146,Ordinario,Municipal,Urbana,Costa,Intercultural,1,1,2,15,7,22,22,0,0,0,0,0
67900d906dbcb30ffd007c9d,2011-2012 Inicio,Zona 1,IMBABURA,10,IBARRA,1001,SAN FRANCISCO,100104,ALFREDO ALBUJA GALINDO,10H00097,Ordinario,Municipal,Urbana,Sierra,Intercultural,25,14,39,329,470,799,794,4,0,0,0,1
67900d906dbcb30ffd007db2,2011-2012 Inicio,Zona 1,IMBABURA,10,OTAVALO,1004,JORDAN,100401,OTAVALO VALLE DEL AMANECER,10H00406,Ordinario,Municipal,Urbana,Sierra,Intercultural,23,5,28,275,316,591,585,0,0,0,1,5
67900d906dbcb30ffd007ea8,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,EL SAGRARIO,110101,UNIDAD INFANTIL MUNICIPAL CENTRO COMERIAL LOJA,11H00037,Ordinario,Municipal,Urbana,Sierra,Intercultural,11,0,11,52,38,90,90,0,0,0,0,0
